detector,classifier,scene,n_gt,n_matched,n_correct
YOLO-FP16-P10,PCNN,18,6,6,5
YOLO-FP16-P10,PCNN,19,4,4,0
YOLO-FP16-P15,PCNN,0,12,12,7
YOLO-FP16-P15,PCNN,1,9,9,3
YOLO-FP16-P15,PCNN,2,11,11,5
YOLO-FP16-P15,PCNN,3,4,4,0
YOLO-FP16-P15,PCNN,4,9,7,2
YOLO-FP16-P15,PCNN,5,4,4,2
YOLO-FP16-P15,PCNN,6,4,4,4
YOLO-FP16-P15,PCNN,7,4,4,1
YOLO-FP16-P15,PCNN,8,16,14,5
YOLO-FP16-P15,PCNN,9,8,8,1
YOLO-FP16-P15,PCNN,10,4,4,2
YOLO-FP16-P15,PCNN,11,5,5,2
YOLO-FP16-P15,PCNN,12,5,4,3
YOLO-FP16-P15,PCNN,13,9,9,2
YOLO-FP16-P15,PCNN,14,5,3,0
YOLO-FP16-P15,PCNN,15,5,5,3
YOLO-FP16-P15,PCNN,16,5,5,3
YOLO-FP16-P15,PCNN,17,3,3,0
YOLO-FP16-P15,PCNN,18,6,6,5
YOLO-FP16-P15,PCNN,19,4,4,0
YOLO-INT8-P10,PCNN,0,12,12,5
YOLO-INT8-P10,PCNN,1,9,9,4
YOLO-INT8-P10,PCNN,2,11,11,6
YOLO-INT8-P10,PCNN,3,4,4,0
YOLO-INT8-P10,PCNN,4,9,7,1
YOLO-INT8-P10,PCNN,5,4,4,1
YOLO-INT8-P10,PCNN,6,4,4,4
YOLO-INT8-P10,PCNN,7,4,4,1
YOLO-INT8-P10,PCNN,8,16,13,4
YOLO-INT8-P10,PCNN,9,8,6,0
YOLO-INT8-P10,PCNN,10,4,4,3
YOLO-INT8-P10,PCNN,11,5,5,1
YOLO-INT8-P10,PCNN,12,5,5,3
